Название;Комнат;Номер квартиры;Статус;Площадь;Цена;Отделка
Май, корп. 2, кв.166;СТ;166;Продажа;29,3;2035618;1
Май, корп. 2, кв.167;СТ;167;Продажа;28,6;1938008;0
Май, корп. 2, кв.168;СТ;168;Продажа;28,8;1998720;0
Май, корп. 2, кв.169;СТ;169;Продажа;29,1;2033200;0
Май, корп. 2, кв.170;СТ;170;Продажа;28,8;2237760;0
Май, корп. 2, кв.171;1К;171;Продажа;41,4;3890151;2
Май, корп. 2, кв.172;1К;172;Продажа;41,1;3861961,5;2
Май, корп. 2, кв.173;СТ;173;Продажа;29,2;2346540;0
Май, корп. 2, кв.174;СТ;174;Продажа;28,6;2217337,12;0
Май, корп. 2, кв.175;СТ;175;Продажа;29,5;2723453,28;2
Май, корп. 2, кв.176;1К;176;Продажа;39,1;2744973;0
Май, корп. 2, кв.177;СТ;177;Продажа;28;1808800;0
Май, корп. 2, кв.178;СТ;178;Продажа;36,7;2574701,71;0
Май, корп. 2, кв.179;СТ;179;Продажа;29,6;1848320;0
Май, корп. 2, кв.180;СТ;180;Продажа;28,6;2005146;0
Май, корп. 2, кв.181;СТ;181;Продажа;29,1;1905049;0
Май, корп. 2, кв.182;СТ;182;Продажа;28,8;2145718,08;0
Май, корп. 2, кв.183;СТ;183;Продажа;28,8;2021760;0
Май, корп. 2, кв.184;1К;184;Продажа;42;3385331,04;0
Май, корп. 2, кв.185;1К;185;Продажа;41,1;3181642,24;0
Май, корп. 2, кв.186;СТ;186;Продажа;29,2;2059640,1;0
Май, корп. 2, кв.187;СТ;187;Продажа;28,6;1970025,2;0
Май, корп. 2, кв.188;СТ;188;Продажа;29,5;2114295,98;0
Май, корп. 2, кв.189;1К;189;Продажа;39,1;2502947;0
Май, корп. 2, кв.190;СТ;190;Продажа;28;1966424,04;0
Май, корп. 2, кв.191;СТ;191;Продажа;36,7;2446069,68;0
Май, корп. 2, кв.192;1К;192;Пл. Бронь;39,8;3205977,56;0
Май, корп. 2, кв.193;1К;193;Продажа;40,6;3004400;0
Май, корп. 2, кв.194;СТ;194;Продажа;29,4;2063880;0
Май, корп. 2, кв.195;СТ;195;Продажа;29,2;2263854,68;0
Май, корп. 2, кв.196;1К;196;Продажа;39,9;3150703,5;0
Май, корп. 2, кв.197;1К;197;Продажа;42;3187120,02;0
Май, корп. 2, кв.198;1К;198;Продажа;41,9;3341719,84;0
Май, корп. 2, кв.199;1К;199;Пл. Бронь;39,6;3189867,12;0
Май, корп. 2, кв.200;СТ;200;Продажа;29,2;2263854,68;0
Май, корп. 2, кв.201;СТ;201;Продажа;30,1;2333631,03;0
Май, корп. 2, кв.202;СТ;202;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.203;СТ;203;Продажа;29;1911420;0
Май, корп. 2, кв.204;1К;204;Продажа;39,3;3165701,46;0
Май, корп. 2, кв.205;1К;205;Продажа;41,8;3313108,13;0
Май, корп. 2, кв.206;1К;206;Пл. Бронь;41,3;3293867,05;0
Май, корп. 2, кв.207;1К;207;Продажа;39,6;3237564,92;0
Май, корп. 2, кв.208;СТ;208;Продажа;28,9;2302618,77;0
Май, корп. 2, кв.209;СТ;209;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.210;СТ;210;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.211;1К;211;Продажа;39,9;3261532,13;0
Май, корп. 2, кв.212;1К;212;Продажа;40,5;2686024,8;0
Май, корп. 2, кв.213;1К;213;Продажа;40,5;2960520,03;0
Май, корп. 2, кв.214;1К;214;Продажа;44,2;3329408,32;0
Май, корп. 2, кв.215;СТ;215;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.216;СТ;216;Продажа;29;2331000;0
Май, корп. 2, кв.217;1К;217;Продажа;39,3;3134357,75;0
